id;titulo;tipo;a�o_lanzamiento;certificacion_edad;duracion;Temporadas;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
tm74391;Fantasia;MOVIE;1940;G;120;;7.7;94681;57.751;7.4
tm67803;Snow White and the Seven Dwarfs;MOVIE;1937;G;83;;7.6;195321;107.137;7.1
tm82546;Pinocchio;MOVIE;1940;G;88;;7.5;141937;71.16;7.1
tm79357;Bambi;MOVIE;1942;G;70;;7.3;140406;68.136;7
tm62671;Treasure Island;MOVIE;1950;PG;96;;6.9;8229;10.698;6.5
tm61729;The Adventures of Ichabod and Mr. Toad;MOVIE;1949;G;68;;6.9;15405;10.862;6.5
tm61052;Cinderella;MOVIE;1950;G;74;;7.3;157099;144.284;7
tm87946;Dumbo;MOVIE;1941;G;63;;7.2;129548;69.875;7
tm4623;The Three Caballeros;MOVIE;1944;G;71;;6.3;13889;11.75;6.4
tm77826;The Reluctant Dragon;MOVIE;1941;G;74;;6.8;3280;6.958;6.6
tm89831;Fun and Fancy Free;MOVIE;1947;G;73;;6.4;8228;10.058;6.3
tm3616;Steamboat Willie;MOVIE;1928;G;8;;;;10.513;7.4
tm77407;Saludos Amigos;MOVIE;;;;;;;;
tm71205;How to Play Baseball;MOVIE;1942;;8;;;;4.179;6.6
tm5822;Melody Time;MOVIE;1948;;75;;6.2;5993;8.856;6.2
tm8579;Ferdinand the Bull;MOVIE;1938;G;8;;;;10.983;6.5
tm134279;Three Little Pigs;MOVIE;1933;;8;;;;8.883;6.8
tm74410;Tugboat Mickey;MOVIE;1940;;7;;;;5.845;6.2
tm4759;Flowers and Trees;MOVIE;1932;;8;;;;7.105;6.7
tm80290;Swiss Family Robinson;MOVIE;1940;;93;;6.4;641;4.777;5.1
tm60613;Beaver Valley;MOVIE;1950;;32;;;;1.003;6.6
tm330224;The Ugly Duckling;MOVIE;1939;;9;;;;9.947;6.8
tm137537;The Pied Piper;MOVIE;1933;;8;;;;4.147;6.1
tm63024;The Old Mill;MOVIE;1937;;9;;;;8.25;7.4
tm100567;The Big Bad Wolf;MOVIE;1934;;9;;;;9.139;6.4
tm116172;Thru the Mirror;MOVIE;1936;;9;;;;6.21;7.3
tm103817;The Goddess of Spring;MOVIE;1934;;9;;;;3.948;5.8
tm4822;How to Play Football;MOVIE;1944;;7;;;;3.972;6.6
tm116154;Toby Tortoise Returns;MOVIE;1936;;7;;;;3.317;6
tm4844;Santa's Workshop;MOVIE;1932;;7;;;;5.884;6.6
