person_id;id;role
23433;tm74391;ACTOR
5910;tm74391;ACTOR
23436;tm74391;ACTOR
23434;tm74391;ACTOR
23441;tm74391;DIRECTOR
23442;tm74391;DIRECTOR
23443;tm74391;DIRECTOR
6164;tm74391;DIRECTOR
23444;tm74391;DIRECTOR
23446;tm74391;DIRECTOR
23440;tm74391;DIRECTOR
13776;tm74391;DIRECTOR
23438;tm74391;DIRECTOR
23437;tm74391;DIRECTOR
23445;tm74391;DIRECTOR
6147;tm74391;DIRECTOR
6134;tm67803;ACTOR
6141;tm67803;ACTOR
6142;tm67803;ACTOR
6135;tm67803;ACTOR
6139;tm67803;ACTOR
6140;tm67803;ACTOR
6136;tm67803;ACTOR
6137;tm67803;ACTOR
6138;tm67803;ACTOR
6144;tm67803;ACTOR
6143;tm67803;ACTOR
6145;tm67803;ACTOR
6146;tm67803;ACTOR
6147;tm67803;DIRECTOR
27198;tm82546;ACTOR
13325;tm82546;ACTOR
47767;tm82546;ACTOR
97812;tm82546;ACTOR
49040;tm82546;ACTOR
10548;tm82546;ACTOR
45704;tm82546;ACTOR
97810;tm82546;ACTOR
90204;tm82546;ACTOR
6143;tm82546;ACTOR
6145;tm82546;ACTOR
598861;tm82546;ACTOR
97811;tm82546;ACTOR
39139;tm82546;ACTOR
23446;tm82546;DIRECTOR
13776;tm82546;DIRECTOR
25067;tm82546;DIRECTOR
23440;tm82546;DIRECTOR
23444;tm82546;DIRECTOR
23445;tm82546;DIRECTOR
23442;tm82546;DIRECTOR
97871;tm79357;ACTOR
97870;tm79357;ACTOR
97869;tm79357;ACTOR
13318;tm79357;ACTOR
49067;tm79357;ACTOR
97868;tm79357;ACTOR
97874;tm79357;ACTOR
97873;tm79357;ACTOR
74029;tm79357;ACTOR
5900;tm79357;ACTOR
6140;tm79357;ACTOR
598853;tm79357;ACTOR
31237;tm79357;ACTOR
6145;tm79357;ACTOR
6147;tm79357;DIRECTOR
40975;tm62671;ACTOR
36587;tm62671;ACTOR
51657;tm62671;ACTOR
63203;tm62671;ACTOR
64887;tm62671;ACTOR
13686;tm62671;ACTOR
35478;tm62671;ACTOR
